Nombre;CUIT;NroPrestador;Sucursal;Provincia;Seccional;Partido;Localidad;Domicilio;Telefono;Clasificacion prestador;Tipo de prestador;Especialidad;Plan;
CLINICA DEL NIÑO DE QUILMES;30589121518;996;1;Buenos Aires;GBA SUR;Quilmes;Quilmes;Av. Lamadrid 444;43649900;Clinicas y Sanatorios;GuardiaActiva;Ginecologica;Universal;
CLINICA DEL NIÑO DE QUILMES;30589121518;996;1;Buenos Aires;GBA SUR;Quilmes;Quilmes;Av. Lamadrid 444;43649900;Clinicas y Sanatorios;GuardiaActiva;Obstetrica;Universal;
CLINICA DEL NIÑO DE QUILMES;30589121518;996;1;Buenos Aires;GBA SUR;Quilmes;Quilmes;Av. Lamadrid 444;43649900;Clinicas y Sanatorios;GuardiaActiva;Pediatrica;Universal;
CLINICA DEL NIÑO DE QUILMES;30589121518;996;1;Buenos Aires;GBA SUR;Quilmes;Quilmes;Av. Lamadrid 444;43649900;Clinicas y Sanatorios;GuardiaActiva;Por Electrocucion;Universal;
CLINICA DEL NIÑO DE QUILMES;30589121518;996;1;Buenos Aires;GBA SUR;Quilmes;Quilmes;Av. Lamadrid 444;43649900;Clinicas y Sanatorios;GuardiaActiva;Por intoxicacion;Universal;
CLINICA DEL NIÑO DE QUILMES;30589121518;996;1;Buenos Aires;GBA SUR;Quilmes;Quilmes;Av. Lamadrid 444;43649900;Clinicas y Sanatorios;GuardiaActiva;Quirurgica;Universal;
CLINICA DEL NIÑO DE QUILMES;30589121518;996;1;Buenos Aires;GBA SUR;Quilmes;Quilmes;Av. Lamadrid 444;43649900;Clinicas y Sanatorios;GuardiaActiva;Traumatologica;Universal;
CLINICA DEL NIÑO DE QUILMES;30589121518;996;1;Buenos Aires;GBA SUR;Quilmes;Quilmes;Av. Lamadrid 444;43649900;Clinicas y Sanatorios;GuardiaPasiva;Pediatrica;Universal;
CLINICA DEL NIÑO DE QUILMES;30589121518;996;1;Buenos Aires;GBA SUR;Quilmes;Quilmes;Av. Lamadrid 444;43649900;Clinicas y Sanatorios;GuardiaPasiva;Quirurgica;Universal;
CLINICA DEL NIÑO DE QUILMES;30589121518;996;1;Buenos Aires;GBA SUR;Quilmes;Quilmes;Av. Lamadrid 444;43649900;Clinicas y Sanatorios;GuardiaPasiva;Traumatologica;Universal;
CLINICA DEL NIÑO DE QUILMES;30589121518;996;1;Buenos Aires;GBA SUR;Quilmes;Quilmes;Av. Lamadrid 444;43649900;Clinicas y Sanatorios;EspecialidadesAmbulatorio;Alergia e Inmunologia Infantil;Universal;
CLINICA DEL NIÑO DE QUILMES;30589121518;996;1;Buenos Aires;GBA SUR;Quilmes;Quilmes;Av. Lamadrid 444;43649900;Clinicas y Sanatorios;EspecialidadesAmbulatorio;Cardiologia Infantil;Universal;
CLINICA DEL NIÑO DE QUILMES;30589121518;996;1;Buenos Aires;GBA SUR;Quilmes;Quilmes;Av. Lamadrid 444;43649900;Clinicas y Sanatorios;EspecialidadesAmbulatorio;Dermatologia Infantil;Universal;
CLINICA DEL NIÑO DE QUILMES;30589121518;996;1;Buenos Aires;GBA SUR;Quilmes;Quilmes;Av. Lamadrid 444;43649900;Clinicas y Sanatorios;EspecialidadesAmbulatorio;Diabetologia Infantil;Universal;
CLINICA DEL NIÑO DE QUILMES;30589121518;996;1;Buenos Aires;GBA SUR;Quilmes;Quilmes;Av. Lamadrid 444;43649900;Clinicas y Sanatorios;EspecialidadesAmbulatorio;Endocrinologia Infantil;Universal;
CLINICA DEL NIÑO DE QUILMES;30589121518;996;1;Buenos Aires;GBA SUR;Quilmes;Quilmes;Av. Lamadrid 444;43649900;Clinicas y Sanatorios;EspecialidadesAmbulatorio;Fonoaudiologia;Universal;
CLINICA DEL NIÑO DE QUILMES;30589121518;996;1;Buenos Aires;GBA SUR;Quilmes;Quilmes;Av. Lamadrid 444;43649900;Clinicas y Sanatorios;EspecialidadesAmbulatorio;Ginecologia;Universal;
CLINICA DEL NIÑO DE QUILMES;30589121518;996;1;Buenos Aires;GBA SUR;Quilmes;Quilmes;Av. Lamadrid 444;43649900;Clinicas y Sanatorios;EspecialidadesAmbulatorio;Ginecologia Infanto Juvenil;Universal;
CLINICA DEL NIÑO DE QUILMES;30589121518;996;1;Buenos Aires;GBA SUR;Quilmes;Quilmes;Av. Lamadrid 444;43649900;Clinicas y Sanatorios;EspecialidadesAmbulatorio;Hematologia e Inmunologia Infantil;Universal;
CLINICA DEL NIÑO DE QUILMES;30589121518;996;1;Buenos Aires;GBA SUR;Quilmes;Quilmes;Av. Lamadrid 444;43649900;Clinicas y Sanatorios;EspecialidadesAmbulatorio;Infectologia Infantil;Universal;
CLINICA DEL NIÑO DE QUILMES;30589121518;996;1;Buenos Aires;GBA SUR;Quilmes;Quilmes;Av. Lamadrid 444;43649900;Clinicas y Sanatorios;EspecialidadesAmbulatorio;Nefrologia Infantil;Universal;
CLINICA DEL NIÑO DE QUILMES;30589121518;996;1;Buenos Aires;GBA SUR;Quilmes;Quilmes;Av. Lamadrid 444;43649900;Clinicas y Sanatorios;EspecialidadesAmbulatorio;Neumonologia Infantil;Universal;
CLINICA DEL NIÑO DE QUILMES;30589121518;996;1;Buenos Aires;GBA SUR;Quilmes;Quilmes;Av. Lamadrid 444;43649900;Clinicas y Sanatorios;EspecialidadesAmbulatorio;Neurologia Infantil;Universal;
CLINICA DEL NIÑO DE QUILMES;30589121518;996;1;Buenos Aires;GBA SUR;Quilmes;Quilmes;Av. Lamadrid 444;43649900;Clinicas y Sanatorios;EspecialidadesAmbulatorio;Nutricion;Universal;
CLINICA DEL NIÑO DE QUILMES;30589121518;996;1;Buenos Aires;GBA SUR;Quilmes;Quilmes;Av. Lamadrid 444;43649900;Clinicas y Sanatorios;EspecialidadesAmbulatorio;Nutricion Infantil;Universal;
CLINICA DEL NIÑO DE QUILMES;30589121518;996;1;Buenos Aires;GBA SUR;Quilmes;Quilmes;Av. Lamadrid 444;43649900;Clinicas y Sanatorios;EspecialidadesAmbulatorio;Obstetricia;Universal;
CLINICA DEL NIÑO DE QUILMES;30589121518;996;1;Buenos Aires;GBA SUR;Quilmes;Quilmes;Av. Lamadrid 444;43649900;Clinicas y Sanatorios;EspecialidadesAmbulatorio;Otorrinolaringologia Infantil;Universal;
CLINICA DEL NIÑO DE QUILMES;30589121518;996;1;Buenos Aires;GBA SUR;Quilmes;Quilmes;Av. Lamadrid 444;43649900;Clinicas y Sanatorios;EspecialidadesAmbulatorio;Pediatria;Universal;
CLINICA DEL NIÑO DE QUILMES;30589121518;996;1;Buenos Aires;GBA SUR;Quilmes;Quilmes;Av. Lamadrid 444;43649900;Clinicas y Sanatorios;EspecialidadesAmbulatorio;Traumatologia y Ortopedia Infantil;Universal;
CLINICA DEL NIÑO DE QUILMES;30589121518;996;1;Buenos Aires;GBA SUR;Quilmes;Quilmes;Av. Lamadrid 444;43649900;Clinicas y Sanatorios;EspecialidadesAmbulatorio;Urologia;Universal;
CLINICA DEL NIÑO DE QUILMES;30589121518;996;1;Buenos Aires;GBA SUR;Quilmes;Quilmes;Av. Lamadrid 444;43649900;Clinicas y Sanatorios;EspecialidadesAmbulatorio;Hemodinamia;Universal;
CLINICA DEL NIÑO DE QUILMES;30589121518;996;1;Buenos Aires;GBA SUR;Quilmes;Quilmes;Av. Lamadrid 444;43649900;Clinicas y Sanatorios;Internacion;Internacion Cardiologica;Universal;
CLINICA DEL NIÑO DE QUILMES;30589121518;996;1;Buenos Aires;GBA SUR;Quilmes;Quilmes;Av. Lamadrid 444;43649900;Clinicas y Sanatorios;Internacion;Internacion Otorrinolaringologica;Universal;
CLINICA DEL NIÑO DE QUILMES;30589121518;996;1;Buenos Aires;GBA SUR;Quilmes;Quilmes;Av. Lamadrid 444;43649900;Clinicas y Sanatorios;Internacion;Internacion Traumatologica;Universal;
CLINICA DEL NIÑO DE QUILMES;30589121518;996;1;Buenos Aires;GBA SUR;Quilmes;Quilmes;Av. Lamadrid 444;43649900;Clinicas y Sanatorios;Internacion;Maternidad;Universal;
